,RMID,Median_CIV_Blueshift,Median_CIV_EQW,RM_DIST_UNSCALE,RM_DIST_SCALE
0,517.0,244.92087668974997,116.076985353,484.39371176298783,2.491384195143036
1,520.0,2192.67108966965,46.693698360249996,2433.1424738030178,4.181150945121505
2,10.0,3043.6017244572,38.7467288734,3284.0525654813755,4.854122118282329
3,11.0,120.0402715836,114.0263272442,361.2447874605673,2.4462651000485303
4,524.0,815.1121666703,91.6667434687,1054.977146297028,3.0053709315257806
5,19.0,358.1846813208,70.264076619,600.3638567964566,2.81205412248216
6,535.0,828.6651005578,106.1001887671,1068.0071043975158,2.945254103684194
7,540.0,207.16627514599998,124.76119516709998,446.01901151881356,2.4041280102311844
8,31.0,211.03854197099997,112.87336173895001,451.03847087892643,2.497235229044804
9,34.0,1061.0011100576,74.051041045,1301.2674774619932,3.2542243199890852
10,36.0,892.5575031703,86.79104174324999,1132.551348935368,3.082514096067326
11,774.0,786.0701654828999,99.1578208092,1025.6649870661936,2.948745564183064
12,41.0,455.95941865195,174.75948972844998,691.6419475855362,1.8894223515324169
13,554.0,195.54947467099998,152.10678386930002,431.6044358806929,2.122068694185986
14,555.0,127.78480523360001,123.4466006466,367.54055231035875,2.3791504854430077
15,45.0,249.7612102209,73.63163224864999,492.8706846742768,2.7386412154611053
16,561.0,638.924026133,108.17242659120001,878.21921232056,2.7935009413286003
17,562.0,1637.968866982,55.1448651318,1878.4673462537146,3.7396834004323085
18,51.0,-47.43526859745,155.61844579235,203.69323819279379,2.0339043408735673
19,564.0,1922.5804786262,82.7618699106,2162.454504427468,3.8849866672933255
20,180.0,333.0149469584,94.35379693860001,573.7188920674652,2.678321340776338
21,59.0,534.3728218581,133.6263482926,772.458802214414,2.5207243494580998
22,573.0,172.31587372099997,138.125341316,409.8802046999305,2.2658890687460613
23,578.0,177.15620725225,225.69104219535,404.5091361174112,1.3188266376237021
24,75.0,242.01667657099998,130.1485973026,480.248042322128,2.3734465047227453
25,591.0,195.54947467099998,78.57616074485,439.17335898839536,2.6876925410768644
26,81.0,1239.1253840074,87.677080999,1478.9812483854269,3.337478054253782
27,87.0,484.0333531332,78.98083386569999,725.0057134786199,2.8449693203846906
28,609.0,811.2398998453,103.7857414836,1050.65997421169,2.944039326186028
29,611.0,4134.61290240505,46.7150738799,4374.895646215947,5.6968078910916855
30,613.0,606.0097581205999,92.7432311303,846.0148657356735,2.85527243781778
31,616.0,263.3141441084,104.7027174345,503.65868206973136,2.5787318360954727
32,623.0,288.4838784709,123.68573336909999,527.1752918171147,2.4545263312840992
33,113.0,125.84867182110001,93.5776823399,369.64097554717887,2.5762494994255185
34,116.0,241.04860986474998,105.72359398855,481.46745325831006,2.560521715087934
35,117.0,543.0854222143499,114.3975379099,782.136459531907,2.6861535644552053
36,630.0,354.3124144958,91.09206136700001,595.1272696426269,2.7081687688495717
37,119.0,30.9781346087,116.3468248744,276.5936716780537,2.392972636420118
38,635.0,859.6432351578,71.4417167866,1100.1725640920583,3.121737353012944
39,124.0,846.0903012703,110.21867765934999,1085.2970437238748,2.9369384855193545
40,128.0,866.41970210155,56.42610099645,1107.4529412769245,3.1824053742370615
41,130.0,-44.5310684787,229.4212888522,153.8706591008373,1.268304207826689
42,363.0,3304.0116684434497,39.469056141799996,3544.471438255183,5.05586444617517
