Name,Maj,Min,S1p4_FIRST,S1p4_err,A_morph,C_morph,Flux,FluxErr,PFimfit,PFerrimfit,Sa/Sc,SB,VLBA,z,L6_NVSS,L6_NVSS_alpha0,DATE_NVSS,L6_FIRST,L6_FIRST_alpha0,DATE_FIRST,L6_VLASS,L6_VLASS_alpha0,DATE_VLASS,DATE_VLAA,DATE_VLAC,SDSSName,S(6)_t,pmt,RAobs_1,RAoff,DECobs_1,DECoff,sz_maj,szmajerr,sz_min,szminerr,PA,PAerr,IFimfit,IFerrimfit,IFimfitSF,IFerrimfitSF,PFimfitSF,PFerrimfitSF,Detection,Freq.,RO_Offset,RMS,PF,PF_err,IF,IF_err,S/N,Resolved,SelfCal,Flags,RAobs_Kell,Decobs_Kell,delta,S(6)_p,pmp,f_c,logL,i,I_2a,MI_Z2,LOGL2500,R,LD_cm,Kell_Ratio,logL6GHz [W/Hz],MJD_dr7
1045+5202,205.0,124.0,490,150,M,U,221.0,25.4950975679639,132.1,5.8,1.1,1,0.5,0.284,x,x,x,22.62,22.99,1997-05-04,22.83,22.96,2017-09-26,2019-08-04,2010-10-15,104541.76+520235.5,195.0,11.6,104541.76,0.0,520235.535,0.04,529.0,27.0,393.0,15.0,92.3,5.1,154.0,11.0,67.0,23.0,22.0,5.8,1.0,5.998981,0.04,7.0,133.8,5.7,150.0,11.0,19.1142857142857,1.0,0.0,0.0,104541.77,520235.5,0.09,195.0,11.6,1.0,22.66,16.76,-23.51,-24.4727497431003,29.9482899395434,0.27,4.55552728665421E+27,1.1,22.71721808495390,
1054+3511,299.0,164.0,,,SR,U,83.0,14.0,63.2,6.5,0.7,2,0,0.205,,,,,,,,,,2019-08-13,2010-10-31,105416.19+351124.1,119.0,10.6,105416.193,-0.045,351124.175,0.08,551.0,66.0,387.0,34.0,85.9,9.9,83.0,14.0,0.0,0.0,0.0,0.0,1.0,5.99906,0.0917877987534291,6.3,66.6,6.5,82.0,13.0,10.5714285714286,,,,105416.2,351124.02,0.15,119.0,10.6,1.0,22.13,16.783,-22.78,-23.4352207787363,29.533278353797800,0.17,3.14601439795299E+27,0.7,21.97927138294830,
1100+2838,0.0,0.0,,,U,U,22.5,3.5,22.5,3.5,0.7,3,0,0.243,,,,,,,,,,2019-08-17,2010-11-15,110052.34+283801.2,30.6,8.3,110052.338,-0.03,283801.125,-0.07,518.0,117.0,255.0,28.0,18.2,5.8,21.6,6.5,0.0,0.0,0.0,0.0,1.0,5.998769,0.0761577310586391,5.5,25.1,4.5,32.3,9.8,4.56363636363636,,,,110052.34,283801.2,0.0,30.6,8.3,1.0,21.7,17.119,-22.81,-23.6084554774009,29.602572233263700,0.06,3.81156735114096E+27,0.7,21.574700866263300,
1102+0844,619.0,206.0,,,U,U,26.6,3.7,26.6,6.2,0.4,4,0,0.294,,,,,,,,,,2019-08-20,2010-11-30,110205.92+084435.7,68.7,8.3,110205.974,0.81,84435.134,-0.57,724.0,203.0,440.0,90.0,127.0,16.0,26.6,3.7,0.0,0.0,0.0,0.0,1.0,5.999218,0.990454441153151,6.2,31.6,3.7,27.4,5.9,5.09677419354839,0.0,,,110205.92300000000,84435.17,0.53,68.7,8.3,1.0,22.24,16.344,-24.0,-25.0431430746449,30.1764472721613,0.07,4.74091142917165E+27,0.7,22.08762208108400,
1118+3103,313.0,177.0,,,M,U,121,14.5,25.6,4.4,0.902985074626866,3,0,0.27,,,,,,,,,,2019-08-17,2010-11-15,111842.83+310317.4,134.0,9.7,111842.831,0.015,310317.403,0.0,486.0,56.0,394.0,38.0,38.0,18.0,44.9,7.3,0.0,0.0,0.0,0.0,1.0,5.998766000000000,0.015,6.6,29.0,5.1,28.5,8.8,4.39393939393939,,,,111842.85,310317.4,0.26,134.0,9.7,1.0,22.44,17.444000000000000,-22.71,-23.7078833407148,29.6423433785892,0.35,4.29855105090999E+27,0.3,21.976180893927500,
1120+4235,370.0,190.0,,,U,U,40.2,5.3,40.2,5.3,1.4,2,0,0.227,,,,,,,,,,2019-08-13,2010-10-31,112007.43+423551.3,29.5,6.7,112007.431,0.015,423551.402,0.1,474.0,72.0,354.0,41.0,72.0,16.0,45.0,10.0,0.0,0.0,0.0,0.0,1.0,5.999006,0.101118742080783,6.0,42.4,3.5,37.9,5.8,7.06666666666667,,,,112007.42,423551.33,0.12,29.5,6.7,1.0,21.62,16.848,-22.93,-23.627725861233700,29.6102803867968,0.04,3.52846020953655E+27,1.4,21.761527856592200,
1124+4201,376.0,372.0,,,U,U,25.9,4.3,25.9,4.3,1.0,2,0,0.225,,,,,,,,,,2019-08-13,2010-10-31,112439.18+420145.0,26.1,5.3,112439.185,-0.075,420145.006,0.01,566.0,97.0,507.0,80.0,93.0,58.0,51.0,12.0,0.0,0.0,0.0,0.0,1.0,5.999013,0.0756637297521078,4.9,30.3,3.7,33.8,6.9,6.18367346938776,,,,112439.22,420145.2,0.49,26.1,5.3,1.0,21.56,15.623,-24.14,-24.856489919822,30.101786010232,0.01,3.49336347069533E+27,1.0,21.562147803402300,
1125+2513,540.0,170.0,,,U,SR,30.1,4.7,30.1,4.7,0.3,3,0,0.272,,,,,,,,,,2019-08-17,2010-11-15,112503.68+251302.3,93.6,9.3,112503.692,-0.18,251302.267,-0.03,544.0,101.0,368.0,50.0,135.0,14.0,44.0,11.0,0.0,0.0,0.0,0.0,1.0,5.998809,0.182482875908947,6.7,33.5,5.7,53.0,14.0,5.0,,,,112503.72300000000,251302.32,0.58,93.6,9.3,1.0,22.3,17.191,-22.98,-23.9460455581352,29.737608265557400,0.19,4.33507735745653E+27,0.3,21.809629298131100,
1129+0629,551.0,77.0,,,SR,U,102.0,18.0,55.9,6.5,0.7,4,0,0.241,,,,,,,,,,2019-08-20,2010-11-30,112959.40+062952.9,154.0,9.2,112959.405,-0.075,62952.914,-0.01,664.0,92.0,409.0,40.0,108.3,7.9,102.0,18.0,0.0,0.0,0.0,0.0,1.0,5.999255000000000,0.0756637297521078,6.1,61.0,5.9,81.0,13.0,10.0,1.0,,,112959.38,62952.96,0.3,154.0,9.2,1.0,22.39,17.245,-22.67,-23.4597825155085,29.543103048506700,0.34,3.77595354383446E+27,0.7,22.223190891352000,
1129+5120,517.0,274.0,880,121,SR,U,166.0,20.0,103.9,7.9,0.3,1,1,0.234,,,,22.69,23.07,1997-04-29,22.60,22.75,2019-05-10,2019-08-04,2010-10-15,112941.94+512050.5,501.0,44.6,112941.94,0.01,512050.629,0.13,853.0,83.0,450.0,27.0,73.4,3.5,166.0,20.0,0.0,0.0,0.0,0.0,1.0,5.999001,0.13038404810405300,8.2,105.1,8.7,161.0,21.0,12.8170731707317,0.0,0.0,0.0,112941.94,512050.69,0.19,501.0,44.6,1.0,22.88,17.019000000000000,-22.83,-23.5310995867002,29.571629876983400,0.89,3.65181099874317E+27,0.3,22.40645688392310,
1130+0222,240.0,78.0,,,U,U,114.0,5.1,114.0,5.1,0.8,4,0,0.241,,,,,,,,,,2019-08-20,2010-11-30,113020.99+022211.5,142.0,10.6,113021.0,-0.15,22211.503,0.0,434.0,20.0,391.0,17.0,44.0,17.0,127.1,9.6,0.0,0.0,0.0,0.0,1.0,5.999286,0.15,6.5,115.1,5.3,118.3,9.4,17.7076923076923,1.0,,,113021.01,22211.95,0.54,142.0,10.6,1.0,22.36,17.285,-22.63,-23.442286447498200,29.5361046213026,0.32,3.77595354383446E+27,0.8,22.271495570926600,
1138+4503,98.0,21.0,,,U,U,166.8,11.0,166.8,6.2,1.4,2,0,0.3,,,,,,,,,,2019-08-13,2010-10-31,113858.79+450338.5,122.0,10.6,113858.793,-0.045,450338.47,-0.03,437.0,19.0,337.0,11.0,92.3,5.0,160.0,11.0,0.0,0.0,0.0,0.0,1.0,5.998991,0.0540832691319598,6.8,168.3,5.2,152.6,8.6,24.75,,,,113858.81,450338.33,0.27,122.0,10.6,1.0,22.51,17.475,-22.91,-23.984618869292600,29.753037590020400,0.33,4.85286503657633E+27,1.3,22.63012270208600,
1146+3715,667.0,83.0,,,M,U,180.0,23.950782868207000,43.2,6.0,2.0,2,0,0.295,,,,,,,,,,2019-08-13,2010-10-31,114646.02+371511.7,90.8,5.8,114645.777,-0.06,371509.83700000000,0.05,778.0,138.0,384.0,42.0,120.4,5.9,88.0,18.0,92.0,15.8,36.8,5.7,1.0,5.999066,4.09214185971112,6.4,48.0,5.8,212.0,46.0,7.5,1.0,,,114645.92,371511.09,1.34,90.8,5.8,1.0,22.36,17.032,-23.32,-24.3431029336172,29.896431215750200,0.16,4.75953286731232E+27,2.0,22.664949643556400,
1155+5021,1690.0,760.0,<390,,M,U,69.7,7.8,37.3,3.6,1.3,1,-1,0.284,,,,,,,,,,2019-08-04,2010-10-15,115549.43+502117.2,53.4,5.6,115549.437,-0.07,502117.256,0.06,1790.0,830.0,840.0,320.0,68.0,18.0,69.7,7.8,75.6,15.5,66.6,7.9,1.0,5.999014,0.0921954445729289,8.3,49.1,4.8,68.0,11.0,5.9156626506024100,0.0,0.0,0.0,115549.46,502117.07,0.32,53.4,5.6,1.0,22.09,17.456,-22.81,-23.96479263517290,29.7451070963725,0.14,4.55552728665421E+27,3.8,22.68160358493350,
1155+5931,300.0,206.0,633,111,SR,U,236.0,24.0,167.0,11.0,0.8,1,1,0.241,22.83,23.21,1993-11-23,22.57,22.95,2002-7-15,22.81,22.96,2017-11-27,2019-08-04,2010-10-15,115558.97+593129.2,293.0,14.1,115558.973,-0.03,593129.311,0.11,525.0,37.0,420.0,25.0,117.0,11.0,236.0,24.0,0.0,0.0,0.0,0.0,1.0,5.998922,0.114017542509914,7.6,177.5,9.1,223.0,19.0,23.355263157894700,0.0,0.0,0.0,115558.97,593129.45,0.25,293.0,14.1,1.0,22.67,17.278,-22.63,-23.4242995458042,29.528909860625,0.66,3.77595354383446E+27,0.8,22.587502722560200,
1157-0022,853.0,315.0,,,M,U,138.0,35.0,47.1,9.1,0.9,4,0,0.26,,,,,,,,,,2019-08-20,2010-11-30,115758.72-002220.9,156.0,9.3,115758.727,-0.105,-2220.776,-0.12,958.0,220.0,480.0,77.0,166.5,8.7,138.0,35.0,0.0,0.0,0.0,0.0,1.0,5.999321,0.15945218719102,6.5,76.6,6.5,146.5,18.5,11.7846153846154,,,,115758.72,-2220.65,0.25,156.0,9.3,1.0,22.47,17.23,-22.84,-24.271411134711,29.867754496188000,0.34,4.1168513205554E+27,0.9,22.42741130771270,
1157-0315,319.0,240.0,2580,140,SR,U,635,20,450.3,9.2,1.05132450331126,4,1,0.215,23.23,23.61,1995-02-27,23.07,23.46,1998-09-16,22.92,23.06,2018-01-12,2019-08-20,2010-11-30,115753.20-031537.1,604.0,21.7,0.0,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.5,443.0,10.0,656.0,23.0,46.6315789473684,,,,115753.20200000000,-31536.99,0.32,604.0,21.7,1.0,22.88,16.801,-22.86,-23.4828656772392,29.552336313199,0.87,3.31886271740258E+27,0.0,21.560335040806500,
1159+5106,410.0,173.0,,,U,U,32.7,7.5,32.7,7.5,0.7,1,0,0.29600000000000000,,,,,,,,,,2019-08-04,2010-10-15,115901.72+510630.7,49.4,5.4,115901.734,-0.13,510630.775,0.08,746.0,219.0,422.0,77.0,64.0,12.0,45.0,17.0,0.0,0.0,0.0,0.0,1.0,5.999007,0.152643375224737,8.2,44.8,5.3,55.0,11.0,5.46341463414634,0.0,0.0,0.0,115901.74,510630.56,0.24,49.4,5.4,1.0,22.1,17.532,-22.82,-23.8873560339994,29.7141324559031,0.14,4.77816932812419E+27,0.7,21.927510702731800,
1202+0225,0.0,0.0,,,U,U,25.9,5.6,25.9,5.6,0.6,4,0,0.273,,,,,,,,,,2019-08-20,2010-11-30,120233.08+022559.7,43.4,14.3,120233.084,-0.06,22559.705,-0.01,516.0,73.0,318.0,28.0,123.6,7.2,25.9,5.6,0.0,0.0,0.0,0.0,1.0,5.999303,0.0608276253029822,6.9,33.9,4.1,101.0,15.6,4.91304347826087,,,,120233.09,22559.94,0.28,434.0,14.3,1.0,22.97,17.292,-22.89,-23.9671535250459,29.7460514523217,0.99,4.35336368522288E+27,0.2,22.154152423878000,
1204+1702,229.0,74.0,<450,,SR,U,215.0,17.0,180.1,8.5,1.0,3,-1,0.298,,,,,,,,,,2019-08-17,2010-11-15,120447.91+170256.8,214.0,11.9,120447.916,-0.09,170256.83400000000,0.03,439.0,22.0,384.0,17.0,152.0,13.0,215.0,17.0,0.0,0.0,0.0,0.0,1.0,5.998899,0.0948683298050514,6.9,181.7,7.5,216.0,15.0,26.3333333333333,,,,120447.93,170256.45,0.45,214.0,11.9,1.0,22.74,17.084,-23.29,-24.325456685889500,29.889372716659100,0.4,4.81548724542493E+27,1.0,22.75194185602510,
1206+2814,1770.0,640.0,,,U,U,26.8,3.5,26.8,3.5,0.4,1,0,0.293,,,,,,,,,,2019-08-04,2010-10-15,120629.36+281436.1,64.7,5.6,120629.366,-0.09,281435.292,-0.01,1830.0,500.0,750.0,160.0,87.3,8.7,73.8,16.8,0.0,0.0,0.0,0.0,1.0,5.999229,0.814984662432368,7.0,35.5,1.9,35.6,3.4,5.07142857142857,1.0,0.0,0.0,120629.35,281436.1,0.13,64.7,5.6,1.0,22.21,17.433,-22.9,-23.9370103435625,29.733994179728300,0.17,4.72230503180822E+27,2.6,22.623182084972500,
1209+0232,596.0,286.0,,,SR,U,93.0,25.0,40.7,8.0,0.9,4,0,0.238,,,,,,,,,,2019-08-20,2010-11-30,120944.81+023212.7,107.0,11.5,120944.814,0.03,23212.729,0.03,709.0,156.0,493.0,87.0,122.0,19.0,93.0,25.0,0.0,0.0,0.0,0.0,1.0,5.999306,0.0670820393249937,6.8,45.5,6.9,61.0,15.0,6.691176470588240,,,,120944.8,23212.47,0.27,107.0,11.5,1.0,22.22,17.276,-22.61,-23.363176399275800,29.5044606020136,0.24,3.72265306643376E+27,0.9,22.17106559764750,
1210+0154,0.0,0.0,,,U,U,42.4,6.8,42.4,6.8,1.2,4,0,0.21600000000000000,,,,,,,,,,2019-08-20,2010-11-30,121018.34+015405.9,35.7,4.7,121018.352,-0.18,15405.908,0.01,408.0,69.0,366.0,55.0,54.0,55.0,41.0,11.0,0.0,0.0,0.0,0.0,1.0,5.999311,0.18027756377319900,6.6,45.7,4.0,29.5,5.3,6.92424242424242,,,,121018.33,15406.29,0.42,35.7,4.7,1.0,21.65,16.914,-22.76,-23.4332236844088,29.5324795160668,0.06,3.33623875337153E+27,1.2,21.73727618456080,
1210+2725,458.0,332.0,,,SR,U,72.0,17.0,37.7,6.1,0.5,1,0,0.23,,,,,,,,,,2019-08-04,2010-10-15,121045.63+272536.4,141.0,10.9,121045.635,-0.07,272536.484,0.0,644.0,113.0,503.0,75.0,51.0,24.0,72.0,17.0,0.0,0.0,0.0,0.0,1.0,5.999236,0.07,7.4,45.3,5.5,77.0,14.0,6.121621621621620,1.0,0.0,0.0,121045.64,272536.48,0.16,141.0,10.9,1.0,22.31,16.979,-22.83,-23.5633182058809,29.5845173246557,0.24,3.5812274628942E+27,0.5,22.027184636171400,
1212+1859,504.0,71.0,,,SR,U,117.0,19.0,68.9,7.3,0.7,3,0,0.215,,,,,,,,,,2019-08-17,2010-11-15,121224.89+185920.1,171.0,10.4,121224.899,-0.135,185920.173,0.07,629.0,80.0,388.0,34.0,123.7,7.1,117.0,19.0,0.0,0.0,0.0,0.0,1.0,5.998891,0.152069063257456,6.5,70.9,6.6,127.9,16.0,10.907692307692300,,,,121224.9,185920.09,0.14,171.0,10.4,1.0,22.33,16.972,-22.69,-23.3941427694412,29.516847150079800,0.29,3.31886271740258E+27,0.7,22.17367604254420,
1218+3522,207.0,156.0,2040,120,U,U,440.6,8.3,440.6,8.3,0.8,1,1,0.24,23.24,23.63,1995-04-16,23.08,23.45,1994-07-05,22.97,23.14,2017-12-02,2019-08-04,2010-10-15,121832.68+352255.8,586.0,21.9,121832.685,-0.06,352255.838,0.04,485.4,12.9,409.9,9.3,82.2,5.4,541.0,22.0,0.0,0.0,0.0,0.0,1.0,5.999161,0.0721110255092798,7.9,445.3,9.7,532.0,19.0,56.3670886075949,0.0,0.0,0.0,121832.68,352255.74,0.06,586.0,21.9,1.0,22.97,17.266,-22.64,-23.400434321490400,29.5193637708995,1.3,3.75817066788038E+27,0.8,22.85700743188600,
1220+0641,128.0,19.0,554,79,U,U,318.9,8.6,318.9,8.6,0.8,4,0.5,0.28600000000000000,x,x,x,22.68,23.05,2000-02-07,22.85,22.98,2019-05-01,2019-08-20,2010-11-30,122018.43+064119.6,392.0,14.8,122018.441,-0.165,64119.59,-0.01,412.0,11.5,381.5,9.9,11.0,14.0,338.0,15.0,0.0,0.0,0.0,0.0,1.0,5.9992790000000000,0.165302752548165,6.9,322.0,8.6,343.0,16.0,46.6666666666667,,,,122018.45,64119.53,0.31,392.0,14.8,1.0,22.97,17.455,-22.83,-23.8727002751436,29.7082701523608,1.04,4.59248291660373E+27,0.8,22.883279194521000,
1221+2604,235.0,106.0,<420,,SR,U,293.0,16.0,249.1,8.3,0.9,1,-1,0.278,,,,,,,,,,2019-08-04,2010-10-15,122157.77+260457.7,310.0,16.8,122157.773,0.0,260457.762,0.06,528.0,20.0,389.0,11.0,77.0,3.8,293.0,16.0,0.0,0.0,0.0,0.0,1.0,5.999248000000000,0.06,8.2,251.2,7.3,272.0,14.0,30.6,1.0,1.0,0.0,122157.79,260457.81,0.29,310.0,16.8,1.0,22.84,17.249000000000000,-22.97,-23.962582314720400,29.7442229681915,0.68,4.44502633008107E+27,0.9,22.819023591131000,
1233+3101,1280.0,350.0,,,U,U,27.4,4.4,27.4,4.4,0.4,3,0,0.29100000000000000,,,,,,,,,,2019-08-17,2010-11-15,123341.68+310102.8,61.6,6.2,123341.673,-0.105,310102.684,-0.12,1340.0,400.0,500.0,100.0,58.2,7.3,27.4,4.4,0.0,0.0,0.0,0.0,1.0,5.998821,0.15945218719102,6.8,22.4,3.9,241.0,45.0,3.29411764705882,,,,123341.64,310103.54,0.9,61.6,6.2,1.0,22.18,16.771,-23.55,-24.5808390368862,29.9915256570578,0.09,4.68513743192475E+27,1.7,22.417617667229400,
1233+6443,546.0,69.0,,,M,U,209,16.4,40.3,5.1,0.863636363636364,1,-1,0.222,,,,,,,,,,2019-08-04,2010-10-15,123341.80+644317.4,242.0,10.1,123341.441,0.1,644319.5080000000,0.0,828.0,150.0,361.0,32.0,85.6,3.9,74,14,150.0,18.0,133.0,8.7,1.0,5.99887,3.16862746311396,7.8,136.3,7.8,137.0,15.0,17.474358974359,0.0,0.0,0.0,123341.537,644318.87,2.27,242.0,10.1,1.0,22.51,17.105,-22.63,-23.357816334173900,29.502316575972900,0.46,3.4408408923352E+27,0.8,22.443530089940500,
1235+4104,1717.0,666.0,510,0,E,U,554.0,67.0,56.8,6.2,2.1,2,0.5,0.212,x,x,x,22.35,22.74,1994-09-02,22.50,22.66,2019-04-15,2019-08-13,2010-10-31,123532.83+410445.1,266.0,16.1,123532.835,-0.02,410445.158,-0.03,1760.0,210.0,757.0,76.0,66.6,4.3,554.0,67.0,0.0,0.0,0.0,0.0,1.0,5.999039,0.0960468635614927,6.9,58.9,6.2,444.0,53.0,8.53623188405797,,,,123532.84,410445.24,0.18,266.0,16.1,1.0,22.51,16.811,-22.82,-23.502996967447,29.560388829282000,0.39,3.2668338324597E+27,2.1,22.83562257234170,
1245+0321,391.0,167.0,,,SR,U,137.0,17.0,86.0,6.9,1.1,4,0,0.227,,,,,,,,,,2019-08-20,2010-11-30,124551.03+032128.3,124.0,8.8,124551.042,-0.18,32128.298,0.0,535.0,46.0,436.0,32.0,55.0,15.0,137.0,17.0,0.0,0.0,0.0,0.0,1.0,5.99931,0.18,6.9,87.8,6.9,137.0,16.0,12.7246376811594,,,,124551.04,32128.23,0.17,124.0,8.8,1.0,22.24,16.966000000000000,-22.81,-23.53670214088,29.573870898660000,0.21,3.52846020953655E+27,1.1,22.294022370664200,
1248+3424,486.0,313.0,,,SR,U,108.0,17.0,50.1,5.7,1.2,3,0,0.271,,,,,,,,,,2019-08-17,2010-11-15,124853.89+342429.4,92.2,5.9,124853.902,-0.18,342429.391,-0.01,607.0,74.0,495.0,53.0,12.0,21.0,108.0,17.0,0.0,0.0,0.0,0.0,1.0,5.998808,0.18027756377319900,6.5,51.3,7.1,90.0,18.0,7.89230769230769,,,,124853.89,342429.68,0.28,92.2,5.9,1.0,22.29,17.552,-22.61,-23.6029133645125,29.6003553881083,0.27,4.3168064731848E+27,1.2,22.360928608799700,
