col1,Name_1,SDSSName,RAobs_1,RAoff,DECobs_1,DECoff,sz_maj,szmajerr,sz_min,szminerr,PA,PAerr,IFimfit,IFerrimfit,PFimfit,PFerrimfit,IFimfitSF,IFerrimfitSF,PFimfitSF,PFerrimfitSF,Flux,FluxErr,Detection,Freq.,RO_Offset,RMS,PF,PF_err,IF,IF_err,S/N,Resolved,SelfCal,Flags,SB,RAobs_Kell,Decobs_Kell,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i,I_2a,MI_Z2,LOGL2500,R,LD_cm,Lrad_K&R_Kell,Lrad_K&R_McC,LD_cm_H070,LD_cm_H070_Om7,LD_cm_H070_Om3,Lrad_K&R_Kell_Om3,Lrad_K&R_MCC_Om3,Lobs,L_1.4GHz,SFR (Msun/yr)
24,0935+4819,093509.48+481910.2,93509.478,-0.03,481910.169,-0.03,1775.0,436.0,450.0,69.0,46.3,3.3,528.0,47.4,194.0,17.0,0.0,0.0,0.0,0.0,528.0,47.4,1.0,5.998889,0.0424264068711929,6.7,197.0,19.0,465.0,52.0,29.40298507462690,1.0,,,2,93509.48800000000,481909.9,0.31,0.224,601.0,28.4,601.0,28.4,1.0,22.92,17.026,-22.73,-23.3800251018139,29.5112000830289,1.07,3.47583958799164E+27,29.599884482973100,29.5436439335042,3.23387622711169E+27,3.23387622711169E+27,3.43446901368731E+27,22.9761379662835,22.9198974168145,22.8935629914717,23.3974262342322,147.325609291725
33,0948+4335,094859.47+433518.9,94859.473,0.045,433519.01,0.11,647.0,96.0,503.0,64.0,52.0,20.0,124.0,23.0,51.6,7.1,0.0,0.0,0.0,0.0,124.0,23.0,1.0,5.998938,0.118848643240047,7.1,50.3,7.6,57.0,15.0,7.084507042253520,1.0,,,2,94859.48300000000,433519.0,0.17,0.226,260.0,16.9,260.0,16.9,1.0,22.56,16.367,-23.4,-24.097833612435500,29.7983234872775,0.25,3.51090368429298E+27,29.244489023622200,28.922937360813600,3.2648867953368E+27,3.2648867953368E+27,3.4690494671724E+27,22.6211513385299,22.2995996757213,22.2730525346666,22.7774121140881,35.3398031225524
41,1005+4230,100528.34+423037.5,100528.344,0.06,423037.568,0.07,412.0,78.0,251.0,28.0,101.4,8.6,18.8,5.4,23.7,3.4,0.0,0.0,0.0,0.0,18.8,5.4,1.0,5.998961,0.0921954445729289,6.6,27.6,2.9,21.9,4.5,4.18181818181818,1.0,,,2,100528.35,423036.99,0.52,0.257,114.0,6.1,114.0,6.1,1.0,22.33,16.736,-23.31,-24.2216247983495,29.8478399616431,0.16,4.06264605226278E+27,29.0099472280868,28.227200226014,3.74968066911561E+27,3.74968066911561E+27,4.01303392845289E+27,22.3928609617042,21.6101139596314,21.5803133763256,22.0922643209996,7.29652933151401
55,1054+3511,105416.19+351124.1,105416.193,0.045,351124.175,0.08,551.0,66.0,387.0,34.0,85.9,9.9,83.0,14.0,63.2,6.5,0.0,0.0,0.0,0.0,83.0,14.0,1.0,5.99906,0.0917877987534291,6.3,66.6,6.5,82.0,13.0,10.5714285714286,,,,2,105416.2,351124.02,0.15,0.205,119.0,10.6,119.0,10.6,1.0,22.13,16.783,-22.78,-23.4352207787363,29.533278353797800,0.17,3.14601439795299E+27,28.8119972447788,28.6555283757624,2.94093497593011E+27,2.94093497593011E+27,3.10913636453611E+27,22.1843324801113,22.0278636110949,22.0035674970216,22.502674680153,18.7726979207427
62,1120+4235,112007.43+423551.3,112007.431,0.015,423551.402,0.1,474.0,72.0,354.0,41.0,72.0,16.0,45.0,10.0,40.2,5.3,0.0,0.0,0.0,0.0,45.0,10.0,1.0,5.999006,0.101118742080783,6.0,42.4,3.5,37.9,5.8,7.06666666666667,,,,2,112007.42,423551.33,0.12,0.227,29.5,6.7,29.5,6.7,1.0,21.62,16.848,-22.93,-23.627725861233700,29.6102803867968,0.04,3.52846020953655E+27,28.3035640813918,28.486954579189,3.28040439760424E+27,3.28040439760423E+27,3.48636340376342E+27,21.6804305571221,21.8638210549193,21.8371676861012,22.3417751303039,12.9606607199927
63,1124+4201,112439.18+420145.0,112439.185,0.075,420145.006,0.01,566.0,97.0,507.0,80.0,93.0,58.0,51.0,12.0,25.9,4.3,0.0,0.0,0.0,0.0,51.0,12.0,1.0,5.999013,0.0756637297521078,4.9,30.3,3.7,33.8,6.9,6.18367346938776,,,,2,112439.22,420145.2,0.49,0.225,26.1,5.3,26.1,5.3,1.0,21.56,15.623,-24.14,-24.856489919822,30.101786010232,0.01,3.49336347069533E+27,28.2419122156805,28.5328418844402,3.24937740048772E+27,3.24937740048772E+27,3.4517513307389E+27,21.6183701998797,21.9092998686393,21.8828590420291,22.3869705544133,14.3821086744135
71,1138+4503,113858.79+450338.5,113858.793,0.045,450338.47,-0.03,437.0,19.0,337.0,11.0,92.3,5.0,160.0,11.0,166.8,6.2,0.0,0.0,0.0,0.0,160.0,11.0,1.0,5.998991,0.0540832691319598,6.8,168.3,5.2,152.6,8.6,24.75,,,,2,113858.81,450338.33,0.27,0.3,122.0,10.6,122.0,10.6,1.0,22.51,17.475,-22.91,-23.984618869292600,29.753037590020400,0.33,4.85286503657633E+27,29.1893982372693,29.307158389250500,4.43445334637805E+27,4.43445334637805E+27,4.79168136192356E+27,22.5807285614889,22.6984887134701,22.664305707778,23.1864823046866,90.6430094850871
72,1146+3715,114646.02+371511.7,114645.777,-3.645,371509.83700000000,-1.86,778.0,138.0,384.0,42.0,120.4,5.9,88.0,18.0,43.2,6.0,92.0,15.8,36.8,5.7,180.0,23.950782868207000,1.0,5.999066,4.09214185971112,6.4,48.0,5.8,212.0,46.0,7.5,1.0,,,2,114645.92,371511.09,1.34,0.295,90.8,5.8,90.8,5.8,1.0,22.36,17.032,-23.32,-24.3431029336172,29.896431215750200,0.16,4.75953286731232E+27,29.0447585641536,29.341945220735800,4.35412062133923E+27,4.35412062133923E+27,4.69974292190665E+27,22.4351248480245,22.4215216716536,22.6986305740816,23.2196356622675,97.8335187406579
94,1235+4104,123532.83+410445.1,123532.835,0.075,410445.158,0.06,1760.0,210.0,757.0,76.0,66.6,4.3,554.0,67.0,56.8,6.2,0.0,0.0,0.0,0.0,554.0,67.0,1.0,5.999039,0.0960468635614927,6.9,58.9,6.2,444.0,53.0,8.53623188405797,,,,2,123532.84,410445.24,0.18,0.212,266.0,16.1,266.0,16.1,1.0,22.51,16.811,-22.82,-23.502996967447,29.560388829282000,0.39,3.2668338324597E+27,29.1933099256872,29.5119380537846,3.04850858764342E+27,3.04850858764342E+27,3.22832214171443E+27,22.5670960161425,22.8857241442399,22.8606733582908,23.3615414424658,135.641771818512
144,1458+4555,145817.42+455514.9,145817.424,0.06,455514.872,-0.03,394.0,78.0,234.0,25.0,175.3,8.0,24.2,7.3,33.0,4.8,24.8,7.0,30.0,4.6,49.0,10.1138518873869,1.0,5.998947,0.0670820393249937,6.6,35.9,4.1,39.0,5.2,5.43939393939394,0.0,,,2,145817.428,455514.72,0.2,0.28600000000000000,95.0,16.3,47.5,4.7,0.5,22.35,17.381,-22.9,-23.9172890480902,29.726105661539400,0.23,4.59248291660373E+27,29.034271399362600,28.7467438741022,4.20998386899262E+27,4.20998386899262E+27,4.53516978871925E+27,22.4228928617198,21.8289846224114,22.102593045883,22.6214779741885,24.679137964005
