SDSS_NAME,RA,DEC,REDSHIFT,PLATE,FIBER,MJD,TARGET_FLAG_TARGET,NSPECOBS,UNIFORM_TARGET,MI_Z2,LOGLBOL,LOGLBOL_ERR,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL5100,LOGL5100_ERR,LOGL3000,LOGL3000_ERR,LOGL1350,LOGL1350_ERR,LOGL_BROAD_HA,LOGL_BROAD_HA_ERR,FWHM_BROAD_HA,FWHM_BROAD_HA_ERR,EW_BROAD_HA,EW_BROAD_HA_ERR,LOGL_NARROW_HA,LOGL_NARROW_HA_ERR,FWHM_NARROW_HA,FWHM_NARROW_HA_ERR,EW_NARROW_HA,EW_NARROW_HA_ERR,LOGL_NII_6585,LOGL_NII_6585_ERR,EW_NII_6585,EW_NII_6585_ERR,LOGL_SII_6718,LOGL_SII_6718_ERR,EW_SII_6718,EW_SII_6718_ERR,LOGL_SII_6732,LOGL_SII_6732_ERR,EW_SII_6732,EW_SII_6732_ERR,EW_FE_HA,EW_FE_HA_ERR,ALPHA_HA,ALPHA_HA_ERR,LINE_NPIX_HA,LINE_MED_SN_HA,LINE_REDCHI2_HA,LOGL_BROAD_HB,LOGL_BROAD_HB_ERR,FWHM_BROAD_HB,FWHM_BROAD_HB_ERR,EW_BROAD_HB,EW_BROAD_HB_ERR,LOGL_NARROW_HB,LOGL_NARROW_HB_ERR,FWHM_NARROW_HB,FWHM_NARROW_HB_ERR,EW_NARROW_HB,EW_NARROW_HB_ERR,FWHM_BROAD_HB_1GAUSS,LOGL_OIII_4959,LOGL_OIII_4959_ERR,EW_OIII_4959,EW_OIII_4959_ERR,LOGL_OIII_5007,LOGL_OIII_5007_ERR,EW_OIII_5007,EW_OIII_5007_ERR,EW_FE_HB_4434_4684,EW_FE_HB_4434_4684_ERR,ALPHA_HB,ALPHA_HB_ERR,LINE_NPIX_HB,LINE_MED_SN_HB,LINE_REDCHI2_HB,LOGL_MGII,LOGL_MGII_ERR,FWHM_MGII,FWHM_MGII_ERR,EW_MGII,EW_MGII_ERR,LOGL_BROAD_MGII,LOGL_BROAD_MGII_ERR,FWHM_BROAD_MGII,FWHM_BROAD_MGII_ERR,EW_BROAD_MGII,EW_BROAD_MGII_ERR,FWHM_BROAD_MGII_1GAUSS,EW_FE_MGII,EW_FE_MGII_ERR,ALPHA_MGII,ALPHA_MGII_ERR,LINE_NPIX_MGII,LINE_MED_SN_MGII,LINE_REDCHI2_MGII,LOGL_CIV,LOGL_CIV_ERR,FWHM_CIV,FWHM_CIV_ERR,EW_CIV,EW_CIV_ERR,ALPHA_CIV,ALPHA_CIV_ERR,LINE_NPIX_CIV,LINE_MED_SN_CIV,LINE_REDCHI2_CIV,VOFF_BROAD_HA,VOFF_BROAD_HA_ERR,VOFF_NARROW_HA,VOFF_NARROW_HA_ERR,VOFF_BROAD_HB,VOFF_BROAD_HB_ERR,VOFF_NARROW_HB,VOFF_NARROW_HB_ERR,VOFF_BROAD_MGII,VOFF_BROAD_MGII_ERR,VOFF_CIV_PEAK,VOFF_CIV_PEAK_ERR,LOGBH_HB_MD04,LOGBH_HB_MD04_ERR,LOGBH_HB_VP06,LOGBH_HB_VP06_ERR,LOGBH_MGII_MD04,LOGBH_MGII_MD04_ERR,LOGBH_MGII_VO09,LOGBH_MGII_VO09_ERR,LOGBH_MGII_S10,LOGBH_MGII_S10_ERR,LOGBH_CIV_VP06,LOGBH_CIV_VP06_ERR,LOGBH,LOGBH_ERR,LOGEDD_RATIO,SPECIAL_INTEREST_FLAG,Name,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i_2,I_2a,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr)
075403.60+481428.0,118.51502990722656,48.241127014160156,0.27549999952316284,1779,238,53089,11,1,1,-24.07718438114616,45.77636345348755,0.003857263095277119,0,1,4.913661886336578,-26.286776186687344,9.510020555574146,44.80975246680561,0.003857263095277119,0.0,-1.0,0.0,-1.0,43.55506697043865,0.00868706247460338,10581.7322950208,1422.5739761189734,370.712441318052,7.978497529038862,41.66387221902372,0.9449227214729916,751.4619491732957,396.9240564981469,4.762907866167629,6.807782861937764,0.0,-1.0,0.0,-1.0,41.11043269473044,0.21177873531190983,1.3455745345925618,0.5458343278387864,0.0,-1.0,0.0,-1.0,0.0,-1.0,-0.4452920162023578,0.03914893649785875,241,33.472577585018755,1.1174746782657168,42.97029420850886,0.010624647034465085,16242.35153371139,219.07179955638003,66.69887808950047,3.1788624914411727,41.2971877584924,0.06435754074778544,507.84928966793257,28.738943843672814,1.4354686533013747,0.19895501429588325,14805.593842961227,42.16821616904358,0.015591820955549451,11.057876310911523,0.4180501599805737,42.65356091557684,0.006849519028573781,34.40245169576347,0.49542435002892304,1.763157700775855,2.4696165565102954,-1.8129223656148816,0.018170046314256005,179,35.5787741148254,1.4445638507920397,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,194.31614286241916,67.40452740759852,148.19178354725088,289.0464686075883,2455.6817118314925,3396.121884216029,188.13766049871262,14.085076205282292,300000.0,-1.0,300000.0,-1.0,9.50689852538789,0.014449576857852763,9.73617404481207,0.011872948332446372,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.73617404481207,0.011872948332446372,-2.0601811364420897,1,075403.60+481428.0,75403.617,481428.05,0.18,0.276,2631.0,84.8,2631,84.8,1.000,23.76,17.148,-23.06,5.24,4.35370584912868E27,23.7970488787363,24.3135606010997,1214.54220983078
080829.17+440754.1,122.12154388427734,44.1317024230957,0.2754000127315521,439,215,51877,5,1,0,-23.605438467007417,45.496429199132685,0.002742589514546978,0,0,0.0,-26.557801953007854,-1.0,44.52981821245075,0.002742589514546978,0.0,-1.0,0.0,-1.0,43.14955593182279,0.01367022502590487,2210.8390085108567,178.9606227061895,279.74015956198116,8.983883142703803,40.53144113365052,0.8036504385613092,434.49309433876334,186.37492004932136,0.674549952977327,4.410363455399427,41.21013643363545,0.49556037119505447,3.2300174295521273,2.7257588635569263,40.77358789522227,0.19115938708886304,1.2082827771115512,0.5039074395534353,40.59021961298764,0.1579523902255744,0.7939943124709015,0.3503506781584021,9.60862685564279,4.326646003183558,-1.0953142368295783,0.05965331756100045,241,23.34619996062743,1.3138234483757685,42.56878884909529,0.027906585203783862,3725.7984511097466,365.3532503843983,51.05538361619383,3.5661771250292382,41.6055631635228,0.35876758367827577,775.7285167021431,64.52833876881095,5.560639030757628,3.703486679200515,3725.7984511097466,41.332448386168785,0.055972400917411846,3.0753799058055287,0.3472526045073281,41.83335095623085,0.010774426733302533,9.919505720585224,0.28010654638608923,67.76098261647041,2.1970678563302997,-1.8406372546471765,0.025352979095027095,179,30.91252876682042,1.5988163671184281,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,14.503318094952602,44.96669367080077,-221.34392145389594,97.46461436494937,153.05955203084181,179.97894399619148,37.2693752247539,74.59404894972836,300000.0,-1.0,300000.0,-1.0,8.137725683176962,0.013075841190145635,8.317347821871662,0.08518521095367124,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8.317347821871662,0.08518521095367124,-0.9212891678565427,0,080829.17+440754.1,80829.23,440755.1,1.19,0.275,61.0,11.2,61,11.2,1.000,22.12,17.615,-22.58,0.19,4.33564089107885E27,22.1586463062958,22.6749196859286,27.9107622646296
081652.24+425829.4,124.21770477294922,42.9748420715332,0.2345000058412552,546,573,52205,4,3,0,-23.97875230346072,45.571697078066094,0.002000375928684406,0,0,0.0,-26.28793436436144,-1.0,44.60508609138416,0.002000375928684406,0.0,-1.0,0.0,-1.0,43.38894021037639,0.005108720450344606,2827.752340819035,130.943048066066,439.05433699454437,6.470286082962332,41.2026376842187,0.3740288142888524,171.62613083194384,156.44326536711114,2.858758494244425,3.4795534185359616,40.23142825845515,0.4782433083920523,0.30681402875906627,0.6003768787464003,40.15451251109354,0.32526817592437496,0.26429600786944285,0.34945708691312544,40.42926680751413,0.2743114749207862,0.49904764376151867,0.3015984917427752,6.432110919118809,1.8316849686427692,-1.3968720974956101,0.040467627921268456,241,37.075063541016355,1.7792778148391863,42.90727401991934,0.012792790519128516,3505.0006682498165,288.1885472469112,92.9267809169483,2.7180393050350844,41.09755619486416,0.3195297649991282,541.0617553970035,391.03399988096726,1.441185419806924,1.9637627179093813,4107.967157824626,41.40365908201432,0.08444844537664764,3.0345959340028656,0.583952307085259,41.8945344834361,0.018608959441152706,9.5793764707226,0.4907658644032926,42.12629868104663,1.4296783795494257,-2.001577701005909,0.019354118280775823,179,45.034310849608985,1.7263892770595217,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,-120.42711948363925,89.94687937368896,-101.5044819866507,128.9401792808339,67.44728505597415,59.945002942748616,-34.903779286202116,461.7633173799877,300000.0,-1.0,300000.0,-1.0,8.268454299405631,0.006127186360936642,8.301919255899248,0.0714242199237204,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8.301919255899248,0.0714242199237204,-0.8305927229507191,0,081652.24+425829.4,81652.252,425829.21,0.23,0.234,232.0,13.9,232,13.9,1.000,22.54,16.636,-23.21,0.29,3.6080017530568E27,22.5792313286831,23.0855681907649,71.848913052111
082205.24+455349.1,125.52184295654297,45.89698028564453,0.29980000853538513,441,21,51868,4,1,0,-23.688601320759012,45.49729391126125,0.003856278207315711,0,0,0.0,-27.021481658834567,-1.0,44.53068292457932,0.003856278207315711,0.0,-1.0,0.0,-1.0,43.06698729533178,0.015929405455363366,6251.319450851463,108.65515831610037,201.09568501804546,12.575440507346329,41.21637405113844,0.09393012709150739,189.56791134724716,42.66795723973536,2.840205326610028,0.685571970096853,40.9155886022336,0.16805634995845153,1.4235713320071413,0.6015881235270718,40.608039175208106,0.1926707622934778,0.7095998406754209,0.28578830233047847,40.15685670012407,0.28747597533731195,0.2514115910504965,0.2436797848781267,3.6328514411347337,4.891437776777847,-0.5968912589789626,0.10898596658142676,241,19.8898240424595,1.3876543242543329,42.42392863373309,0.028620626940870864,9676.628627122156,1144.2018651160593,38.75905208851069,2.8905206162689048,40.49989406563182,0.25768384866585237,409.6548734324969,72.40052335623469,0.4619757208927416,0.29656854837937424,9676.628627122156,41.009920497701074,0.1854790144241285,1.5125743870191415,0.8520949178804752,41.41299592419413,0.049626967717944837,3.8480980253649846,0.48327265003721864,45.07340919367438,3.0936599022746236,-0.5874663648752683,0.03968035562445099,179,27.8928124145397,1.165354112353419,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,688.245476466136,583.9539123738246,41.13467296379292,24.0825838705366,335.1976454462183,838.2246588422535,5.700349363351056,28.35209602658735,300000.0,-1.0,300000.0,-1.0,8.967262589672226,0.02799767387403132,9.146789610032783,0.10272340422332088,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.146789610032783,0.10272340422332088,-1.7498662438890946,1,082205.24+455349.1,82205.23,455349.18,0.13,0.3,222.0,11.2,222,11.2,1.000,22.77,17.695,-22.69,0.73,4.79168136192356E27,22.8065386995728,23.3287152964814,125.767175660583
083353.88+422401.8,128.47450256347656,42.40052795410156,0.249099999666214,761,616,52266,134225419,2,1,-24.343696880984353,45.6558445799268,0.0030649269681113367,0,1,149.22747225290965,-26.73613411727577,812.7985119762805,44.689233593244865,0.0030649269681113367,0.0,-1.0,0.0,-1.0,41.72566165934132,0.04727465364431538,2570.8458815292815,512.2179187074325,6.4190907506544965,0.7340879180122899,40.52962600509255,0.2479312236696778,276.93066441600666,109.9416661691933,0.4085438781534471,0.22148476329990086,40.55949680965012,0.2506821441491134,0.43837593363407384,0.18062884782347788,40.37223795219369,0.1891107626286619,0.28792341123700554,0.13479992579144573,40.34456253709997,0.17849104453174647,0.2704599384201977,0.10784621414068925,2.718154227019082,1.9149491237380734,-0.5399426708273547,0.030273286622585327,241,41.51692114746468,0.8953771236500144,42.15468211064461,0.051168168434543304,2261.564239988833,5844.812510913984,14.61810684100307,1.9105032832755215,40.46069646769337,0.1374250089412854,254.00587990065634,221.04181542672455,0.2948200968898762,0.09013543757011487,19801.712886351856,41.05378208089212,0.1361648208276307,1.1657216165732203,0.3440429426567489,41.03318765116253,0.06222488117216329,1.1166392409346562,0.16634541353916565,2.4784850819192545,2.5830565866927997,-0.4578355405013036,0.02871572452423407,180,43.52357527324359,0.8448126012681757,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,-210.41448304887288,263.83857635525106,44.26766226606145,58.5590737686539,-2037.988231067498,1242.0955667555322,1.9526348724993379,56.91914927788711,300000.0,-1.0,300000.0,-1.0,9.685935868208405,0.09692176757076913,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,0,083353.88+422401.8,83353.88,422401.75,0.05,0.249,209000.0,6271.0,209000,6270.1,1.000,25.56,16.48,-23.5,224.98,3.87122875626279E27,25.5950538204111,26.1050637775668,75147.716657978
083443.80+382632.8,128.68252563476562,38.44245147705078,0.2881999909877777,828,256,52317,7171,1,1,-23.800289890913376,45.5859438910519,0.0025590677652367333,0,0,0.0,-26.490916439518244,-1.0,44.61933290436996,0.0025590677652367333,0.0,-1.0,0.0,-1.0,43.49282928585312,0.013865612690658224,5173.460301228824,68.11404023316481,494.15573024260055,13.863582134859826,41.520026067834685,0.16119423820103407,378.80070561794594,73.20332948770212,5.262070536678461,1.6584553003239322,41.426725029695504,0.15667591520157131,4.258272510275189,1.290497672542898,41.04571171415571,0.16472990806970245,1.80710837291885,0.6366344147641345,40.888610036866744,0.1733566076084756,1.2613035251205003,0.4169462423776797,0.0,-1.0,-1.009161346426882,1.169282554337157,241,26.982358790801076,0.9696136623027046,42.94736547938302,0.00894635016312506,5575.6660241224545,184.09930659457632,99.18174981782519,2.6067566536693363,40.698396563714205,0.23900883370292902,411.4670071299911,18.45994402829166,0.5591423156786108,0.4406525932938741,5750.612459916367,41.759037662168005,0.018927043952562173,6.676717587326957,0.2749784439700669,42.2696356437148,0.010984398494429115,22.034175744341006,0.6043451156367965,38.59021184206836,2.0246590456108784,-1.899799280076347,0.01935810867369736,179,33.262884430698435,1.0700100389633436,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,14.503318094952602,67.45509976541759,-51.2002327551443,39.28270460659849,-52.46670122861861,299.54528157130284,-74.09451993495412,8.492698884644348,300000.0,-1.0,300000.0,-1.0,8.569319131605784,0.008464985367726356,8.712259956459363,0.028707905735214055,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8.712259956459363,0.028707905735214055,-1.2266866105250287,2,083443.80+382632.8,83443.82,382633.09,0.37,0.288,128.0,8.0,128,8.0,1.000,22.49,17.527,-22.77,0.36,4.57163930719088E27,22.5265637499616,23.045921104372,65.5802572623196
083658.90+442602.2,129.2454376220703,44.4339714050293,0.25440001487731934,762,498,52232,7688,1,1,-25.45369737132608,46.25446885525228,9.929473453169635E-4,0,1,6.289680529486343,-25.644129259182495,2.7717741883037674,45.28785786857034,9.929473453169635E-4,0.0,-1.0,0.0,-1.0,44.12358187977576,0.0077732567790747,3252.2449734924144,267.7537838090029,520.6957896262057,13.527264483821199,42.84742191821886,0.09842608575212708,461.48335041565207,29.484789320425506,27.570408762606313,6.861084438762342,42.0971632078024,0.11349414781499334,4.902770266296283,1.3291750514720038,41.88557319154509,0.05031264454927964,3.0233370386213476,0.3326765782933283,41.850226891657925,0.04722644953925581,2.788143289385946,0.3023572118614519,45.993331678204044,20.226223987605948,-0.18827072060359354,0.519777263186255,241,48.39857242248989,1.2543338887682687,43.63079187092638,0.005222866108891111,3887.098943827903,251.60752128947274,101.52673806363048,1.357194599633388,42.3064585442511,0.07014156305439911,485.07307335600854,5.890615640513857,4.813137099808018,0.7369668949234947,4554.573286812774,42.781898256752584,0.016291462405199297,15.00042859992617,0.6689621178772915,43.283908792034396,0.004456781651612118,48.633839629731824,0.514840836799948,8.61156680493572,0.7697564579351903,-2.112510326953375,0.012893651113248694,179,60.05025721825012,3.5575948613762467,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,59.46663926373868,44.96669367080077,-10.560518185835162,13.131216550881522,67.44728505597415,119.93797387883106,8.268794126012102,1.8989770946240383,300000.0,-1.0,300000.0,-1.0,8.77458654700582,0.004504436468078602,8.733180125252655,0.056224973921058984,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8.733180125252655,0.056224973921058984,-0.579081815117938,2,083658.90+442602.2,83658.909,442602.2,0.1,0.254,2596.0,79.0,2596,79.0,1.000,23.67,15.434,-24.59,1.07,3.95974237809773E27,23.7088484152085,24.2200729410486,979.320741404745
084313.41+535718.8,130.80587768554688,53.95524215698242,0.21799999475479126,446,173,51899,1055749,1,0,-23.91228211595254,45.50010893517215,3.2360884248916477E-4,0,0,0.0,-26.3743252933977,-1.0,44.533497948490215,3.2360884248916477E-4,0.0,-1.0,0.0,-1.0,43.56886627829943,0.011557215568739565,6612.193404059774,326.0177829857512,712.4447052920256,19.31169231128007,42.53631925839897,0.035199968309679974,627.3055419171537,63.474766146356046,66.22051960881045,5.074848562029061,41.78527085570548,0.09234850508386572,11.777697213937724,2.2215222007679314,41.20225380093383,0.09087583948967648,3.1271108762937225,0.7801769640055076,41.33977236728841,0.04132011333189567,4.299530176882203,0.4193341147592313,122.45371833165719,11.289319285970294,2.859244333368479,0.025455774823633648,241,51.31395286066938,4.712456275542052,42.9609780757451,0.012855673742549811,8651.094680675707,321.33381089305294,125.07444068611066,4.029597403257405,41.867335150631554,0.01914427580610223,540.6971381245856,7.227446356857854,10.123546054234907,0.44602846209208113,9445.204395923063,42.36953751055439,0.009338002533969103,33.3097478513356,0.6928139878636728,42.841493299056395,0.00233481082805298,100.41608451199434,0.5598580137433515,0.0,-1.0,-1.7418769777344956,0.013736696591818975,179,47.58434542448262,2.2924724060299506,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,688.245476466136,89.77165385903791,23.310437566803813,29.322195995227702,726.1175101177301,239.44457857350903,10.885137706718362,2.269834119911522,300000.0,-1.0,300000.0,-1.0,8.94795432765534,0.006826032585161614,9.0508911044804,0.032263028234179425,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.0508911044804,0.032263028234179425,-1.6511527144258125,0,084313.41+535718.8,84313.396,535718.73,0.14,0.218,410.0,14.7,410,14.7,1.000,22.72,16.44,-23.25,0.43,3.33110839710992E27,22.7571712512102,23.2595406033118,107.248842811993
084347.84+203752.4,130.94937133789062,20.631248474121094,0.2273000031709671,2280,301,53680,7691,1,1,-23.381079248061578,45.19631878223939,0.005965131119701539,0,1,1.6165772860926901,-26.980136691558428,15.443053072091864,44.22970779555745,0.005965131119701539,0.0,-1.0,0.0,-1.0,43.280866649601684,0.013536998616974216,12558.217499607828,168.71414769291277,588.8490701779842,28.22081365792218,41.32143946800732,0.18917787246229878,360.437282169953,96.29830806507661,6.476206225379539,2.3684430781251926,40.863103013233804,0.3528105616089938,2.2566008062298115,1.1316424580915712,40.54426741482196,0.2064618941990055,1.0904658017396316,0.5374611790112334,39.884583047484014,0.4390828012112813,0.23891735420881768,0.38122656527753884,0.0,-1.0,-0.3446265449383642,1.2991328384102008,241,32.462900294516814,1.6162718921414125,42.636620987331135,0.009646315912146264,13869.213450348812,357.861438706258,125.03974719941046,3.911027779377463,40.65921403320208,0.251562966881302,344.0766183594743,421.0047538363042,1.3144850580373286,1.1529653660755739,13869.213450348812,41.51167112228542,0.04504197663357701,9.52524244417238,0.9583424435848134,41.894515597389336,0.01724342732183004,23.19683960609129,1.069956788007575,53.642973608416746,5.717616862405073,-0.8877515356525474,0.05619565618414368,179,24.366841233144072,1.2703822177917978,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,1494.7376013669032,582.5541034267759,8.506090648423934,72.7165536336986,-728.9173101574629,154.40118536205063,-39.504575238340074,65.37653112922861,300000.0,-1.0,300000.0,-1.0,9.096323277425785,0.015419195188983513,9.30895756197875,0.022609421874278224,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.30895756197875,0.022609421874278224,-2.2130093248569267,1,084347.84+203752.4,84347.85,203752.48,0.16,0.227,7960.0,262.9,5361,161.6,0.673,24.05,17.136,-22.64,15.68,3.48636340376342E27,24.0848682400635,24.5894756842662,2292.59687402524
084755.63+263147.6,131.9818115234375,26.529903411865234,0.2816999852657318,1932,198,53350,1055747,1,1,-23.60553570129286,45.49297152887079,0.010429198259032546,0,0,0.0,-26.551044129537246,-1.0,44.526360542188854,0.010429198259032546,0.0,-1.0,0.0,-1.0,43.30467169905421,0.023100706509666225,2279.9702497373632,231.3672971951164,417.39984950666263,23.20063632876287,41.19363722699246,0.6459168392522763,198.27375585506005,335.98966147780226,3.236998965788117,20.537188876992182,0.0,-1.0,0.0,-1.0,40.69357020130071,0.13151233385183048,0.9576810457130523,0.3860938600816644,0.0,-1.0,0.0,-1.0,98.52057520861261,50.2276273733347,2.871161154780683,1.7286408332964138,241,22.61717341533199,1.875511720724762,42.71614767343609,0.08278350328048845,3262.5960840041294,474.7116147071515,72.11777364872678,16.85653529084805,41.906311105039286,0.28257260892046077,1200.1171841736,292.4070640463009,11.15403595897584,5.673615437843818,4392.055546280445,41.38606798581889,0.06431462665281273,3.4988947163424164,0.6159427942897626,42.01949547899698,0.029571002883397313,15.327096095773404,1.0092999413637322,10.3723300161734,7.636692869502173,-1.9394651601239374,0.05201251886239178,179,30.91772499813012,1.8873980501000578,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,-120.42711948363925,135.0012980735966,29.799515906438565,35.709095306660984,-292.43861855801424,120.05797184167001,-16.919090752147095,55.73781491745929,300000.0,-1.0,300000.0,-1.0,8.278513436659972,0.013180478163947816,8.200306892255043,0.1264882625045892,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8.200306892255043,0.1264882625045892,-0.8077059085018163,0,084755.63+263147.6,84755.6,263148.6,1.08,0.282,16.8,5.0,16.8,5.0,1.000,21.58,17.662,-22.59,0.05,4.46240704566743E27,21.6236575110028,22.1415953789245,8.17424011083655
